md5Hash,Make,Model,LensModel,Flash,DateTime,ISO,Aperture,FocalLength,Width,Height,ExposureTime,Sharpness,Type,Dir
0006c92e6dcabc5c1a7087a7bc2db1b6,,,,,,,,,,,,,1,2018/06/11/IMG_1872.jpg
005c24feef7b0178eb9d160ac7807fd7,,,,,,,,,,,,,1,2018/06/11/2012-04-18 02.59.33.jpg
009b949dcf530f8e1c904bdcb634caf5,,,,,,,,,,,,,1,2018/06/11/IMG_1468.JPG
00b3ce34c2791bf445f0c621cacb2ad7,,,,,,,,,,,,,1,2018/06/11/IMG_1075.JPG
00c28a65c2486044e4abf06c6131218e,,,,,,,,,,,,,1,2018/06/11/IMG_1635.jpg
00cb116ecaa005af8b6fe9ce15e8e1c8,,,,,,,,,,,,,1,2018/06/11/2012-08-06 22.00.00.png
00d27164608279721d5ea4cf4d6bc6cf,,,,,,,,,,,,,1,2018/06/11/IMG_1919 (1).JPG
00d52243b585d4a7a6aa1dbc7c844b5a,,,,,,,,,,,,,1,2018/06/11/IMG_1793 (1).jpg
00dc126dfa5a32b346919b105e15565d,,,,,,,,,,,,,1,2018/06/11/2012-09-23 18.43.08 (1).jpg
00f04b3f588f36f7411474a8f4d22a2c,,,,,,,,,,,,,1,2018/06/11/IMG_1797.JPG
0106a625dfa6093a6de9d9f5586adf4f,,,,,,,,,,,,,1,2018/06/11/IMG_1938.jpg
0126116e034014cc06f7725cf6c43d1a,,,,,,,,,,,,,1,2018/06/11/2012-04-06 15.08.53.jpg
0128e31fa0b206ce28e244131b043bef,,,,,,,,,,,,,1,2018/06/11/2012-09-23 19.05.43 HDR.jpg
01308234d10ecf6ec1b5839b16ccef37,,,,,,,,,,,,,1,2018/06/11/IMG_1290.JPG
0136289c072e8b14ad74b424714b99e3,,,,,,,,,,,,,1,2018/06/11/IMG_1894 (1).jpg
0148d47de35603b58a13b056e7d77316,,,,,,,,,,,,,1,2018/06/11/2012-05-30 00.54.57.png
014e0b6f8365c1e71d658e0567619f9c,,,,,,,,,,,,,1,2018/06/11/IMG_1107 (1).JPG
0153309ede6ed8b9dd81cea9fe57dd31,,,,,,,,,,,,,1,2018/06/11/2012-04-11 15.23.30.jpg
015babf169579cf259c095abc5cb318c,,,,,,,,,,,,,1,2018/06/11/IMG_1601.jpg
015d8b7f2d0ee201d828c0affb879c3a,,,,,,,,,,,,,1,2018/06/11/IMG_1243.JPG
016c495d508bcc5778c8c3d68409c03d,,,,,,,,,,,,,1,2018/06/11/IMG_1837.jpg
0188948042b98a1e8db59d4545768c11,Apple,iPhone 5,,,2013:01:28 20:08:15,50,,413/100,2448,3264,1/161,,1,2013/01/28/IMG_1848.jpg
018d5f034f08e9c1d51f956fa166f3e2,,,,,,,,,,,,,1,2018/06/11/2012-09-23 19.08.40.jpg
0190c1a1f75c219fecc71040d158c1fb,,,,,,,,,,,,,1,2018/06/11/2012-09-30 20.03.52.jpg
01a4d039c7cdd6fb1fdc1ff4f13cdda4,Canon,Canon PowerShot S40,,,2003:12:14 12:01:44,,97349/32768,341/16,2272,1704,1/500,,1,2003/12/14/Canon_PowerShot_S40.jpg
01a7c5c0732b3fc280627024e163876d,,,,,,,,,,,,,1,2018/06/11/IMG_1498.JPG
01c37e36e493287e69fb53e1b8c62339,,,,,,,,,,,,,1,2018/06/11/2012-09-29 01.54.43.jpg
01cef1334bd6024c41329c84cea99b08,,,,,,,,,,,,,1,2018/06/11/IMG_1523.jpg
01cf681d0ab719194987c7a7bfc501fd,Apple,iPhone 4,,,2012:07:04 11:38:03,1000,,77/20,2592,1936,1/15,Soft,1,2012/07/04/IMG_1452.JPG
01d4ede8c30475464aa41b1bbfb00ca0,,,,,,,,,,,,,1,2018/06/11/2012-09-25 21.45.37 (1).jpg
01d7985a6e2690192f0c65b2f7f5263b,Apple,iPhone 4,,,2012:04:13 15:43:33,160,,77/20,2592,1936,1/15,Hard,1,2012/04/13/IMG_1110.JPG
01eb61c0e43f42d06299a0a4528363a7,Apple,iPhone 5,,,2012:09:23 18:42:04,50,,413/100,3264,2448,1/140,,1,2012/09/23/IMG_1827.jpg
01f22d96329a033ec2cbef31f646449f,,,,,,,,,,,,,1,2018/06/11/IMG_1740.jpg
01f45909fe4296e80e8cbbd1e9a31dcf,,,,,,,,,,,,,1,2018/06/11/IMG_1429.JPG
01f7d0125f6c6764af5730e92ff10555,,,,,,,,,,,,,1,2018/06/11/IMG_1783.jpg
021e999879015b381dc97dbfa5484d64,,,,,,,,,,,,,1,2018/06/11/IMG_1344.JPG
02319e9da0ce77ee9c5ad24ecef6fe13,Apple,iPhone 5,,,2012:09:24 13:17:50,50,,413/100,2448,3264,1/874,,1,2012/09/24/2012-09-24 13.17.50.jpg
026215e20059532a2b425cdab85cf2a4,,,,,,,,,,,,,1,2018/06/11/IMG_1894 (1).jpg
0278dcdce510cc6f9beed92bc2a16bd3,SONY,DSC-D700,,,1998:12:01 14:22:36,200,,,1344,1024,,,1,1998/12/01/sony-d700.jpg
02a10b6b1161384d49f40051ca524a6f,,,,,,,,,,,,,1,2018/06/11/IMG_1520.JPG
02a84916d95192d94b3a24fb6b92a343,Apple,iPhone 4,,,2013:01:28 20:06:29,100,,77/20,1936,2592,1/40,,1,2013/01/28/IMG_1752.jpg
02ad2ad8fc46f88a39e3299dbc32d5fb,,,,,,,,,,,,,1,2018/06/11/IMG_1134.JPG
02b593b3ba346673d4aabe6dc4b33e82,,,,,,,,,,,,,1,2018/06/11/IMG_1169.JPG
02b8297ce784986c38390c02490aea8f,Apple,iPhone 5,,,2012:09:22 20:29:17,800,,413/100,3264,2448,1/15,,1,2012/09/22/IMG_1821.jpg
02c412ec9e260fabbf3a79527fa78771,Apple,iPhone 4,,,2012:04:06 15:08:53,100,,77/20,1936,2592,1/120,Hard,1,2012/04/06/2012-04-06 15.08.53.jpg
02cc5340ad1fcd70260ffec9e056301c,,,,,,,,,,,,,1,2018/06/11/IMG_1865.JPG
02e562d40efe395e55549aa833836f61,samsung,SM-G930F,,,2016:09:12 10:05:31,,,,4032,2012,,,1,2016/09/12/67-0_length_string.jpg
02f8c712355d2c56694ba032dae5ecd2,Apple,iPhone 5,,,2012:10:01 22:18:14,3200,,413/100,2448,3264,1/15,,1,2012/10/01/2012-10-01 22.18.14.jpg
0302a79997a9ff519b82aa470ca1cf0b,,,,,,,,,,,,,1,2018/06/11/IMG_1903.jpg
0305838df28a48c819473066e43599f7,,,,,,,,,,,,,1,2018/06/11/IMG_1074.JPG
03093f37e299c8f1addce894c0e6a0d1,,,,,,,,,,,,,1,2018/06/11/2012-08-12 02.07.37.jpg
030a1dd360fbf16fc5143f27efd644d2,,,,,,,,,,,,,1,2018/06/10/mojave_dynamic_71.jpeg
030c2d800608c8b3ad03982c523a0b72,Apple,iPhone 4,,,2012:05:24 11:54:51,1000,,77/20,2592,1936,1/15,Soft,1,2012/05/24/IMG_1350.JPG
0315ebaca7aa30883c04f30be7bdbbe6,,,,,,,,,,,,,1,2018/06/11/IMG_1783.jpg
031b7782a847a29254ddff847075b1f7,,,,,,,,,,,,,1,2018/06/11/IMG_1818.jpg
031c68b9f7e6b909b37599548facdb49,,,,,,,,,,,,,1,2018/06/11/IMG_1539.JPG
03907b2fd4af2cb5f08f4e10c86343d6,,,,,,,,,,,,,1,2018/06/11/2012-09-14 22.46.28.png
03986f89523d189af14abf5fc79e7868,,,,,,,,,,,,,1,2018/06/11/IMG_1746.JPG
03a4bb2d83b272c7972e496054f8f539,Apple,iPhone 5,,,2013:01:28 20:07:48,800,,413/100,2448,3264,1/15,,1,2013/01/28/IMG_1819.jpg
03bf6783e3c70d67f88ae0a0bf1b1549,,,,,,,,,,,,,1,2018/06/11/IMG_1832.jpg
03d3450985d947da7cf46efca44c77ae,,,,,,,,,,,,,1,2018/06/11/2012-04-11 21.27.10 HDR.jpg
03d58db7247eda7fa89f17087bed3547,,,,,,,,,,,,,1,2018/06/11/IMG_1913 (1).JPG
03ded0ef514dcf5206c5fa0076307065,,,,,,,,,,,,,1,2018/06/11/IMG_1808.jpg
03e25fb2025c887988e77404adb8cc5c,,,,,,,,,,,,,1,2018/06/11/IMG_1346.JPG
03f181663b046cb09ca8b0bbc0471801,,,,,,,,,,,,,1,2018/06/11/2012-04-09 19.55.32 HDR.jpg
03f7086d27229f583a461cef6190f292,Apple,iPhone 4,,,2013:01:28 20:06:26,320,,77/20,1936,2592,1/15,,1,2013/01/28/IMG_1749.jpg
040f06dac66bcb183c47a3bcfbe7da9a,,,,,,,,,,,,,1,2018/06/11/IMG_1252.JPG
041f844d7b61f6bc942d01594429e042,,,,,,,,,,,,,1,2018/06/11/IMG_1806.jpg
042485387e73ef509c84b90d650f9ef5,,,,,,,,,,,,,1,2018/06/11/IMG_1762.JPG
0426fe33641fa057ec5bea4ba7f000dc,,,,,,,,,,,,,1,2018/06/11/2012-04-28 09.46.18.jpg
0433760bfa63ff185c5c99d404e0c7df,,,,,,,,,,,,,1,2018/06/11/IMG_1076.JPG
04396647537edb320609d81bb03baa09,,,,,,,,,,,,,1,2018/06/11/IMG_1139.JPG
043d8db1e7907151fbdbd8fe5eedef63,,,,,,,,,,,,,1,2018/06/11/2012-08-07 13.03.34 HDR.jpg
